uid,name
متر(m),متر
متر(m),m
سانتیمتر(cm),سانتی(-|\u200c|\s*)متر
سانتیمتر(cm),cm
اینچ(inch),اینچ
اینچ(inch),inch
میلیمتر(mm),میلی(-|\u200c|\s*)متر
میلیمتر(mm),mm
فوت(پا-فیت-foot-feet),فوت
فوت(پا-فیت-foot-feet),پا
فوت(پا-فیت-foot-feet),فیت
فوت(پا-فیت-foot-feet),foot
فوت(پا-فیت-foot-feet),feet
کیلومتر(km),کیلو(-|\u200c|\s*)متر
کیلومتر(km),km
مایل(mile),مایل
مایل(mile),mile
یارد(yard),یارد
یارد(yard),yard
مایلدریایی(nauticalmile),مایل(-|\u200c|\s*)دریایی
مایلدریایی(nauticalmile),nautical(-|\u200c|\s*)mile
دسیمتر(dm),دسی(-|\u200c|\s*)متر
دسیمتر(dm),dm
میکرون(micron),میکرو(-|\u200c|\s*)ن
میکرون(micron),micron
میکرومتر(μm),میکرو(-|\u200c|\s*)متر
میکرومتر(μm),μm
نانومتر(nm),نانو(-|\u200c|\s*)متر
نانومتر(nm),nm
آنگستروم(Angstrom),آنگستروم
آنگستروم(Angstrom),Angstrom
پیکومتر(pm),پیکو(-|\u200c|\s*)متر
پیکومتر(pm),pm
فمتومتر,فمتو(-|\u200c|\s*)متر
ذرع,ذرع
گز,گز
وجب,وجب
فرسنگ(فرسخ),فرسنگ
فرسنگ(فرسخ),فرسخ
فرسنگشرعی(فرسخشرعی),فرسنگ(-|\u200c|\s*)شرعی
فرسنگشرعی(فرسخشرعی),فرسخ(-|\u200c|\s*)شرعی
فاتوم(ftm),فاتوم
فاتوم(ftm),ftm
زنجیر(chain),زنجیر
زنجیر(chain),chain
فرلانگ(fur),فرلانگ
فرلانگ(fur),fur
میل(ثو),میل
میل(ثو),ثو
xu,xu
سالنوری(lightyear),سال(-|\u200c|\s*)نوری
سالنوری(lightyear),light(-|\u200c|\s*)year
ثانیهنوری(lightsecond),ثانیه(-|\u200c|\s*)نوری
ثانیهنوری(lightsecond),light(-|\u200c|\s*)second
واحدنجومی(au),واحد(-|\u200c|\s*)نجومی
واحدنجومی(au),au
پارسک(pc),پارسک
پارسک(pc),pc
شعاعخورشیدی(solarradius),شعاع(-|\u200c|\s*)خورشیدی
شعاعخورشیدی(solarradius),solar(-|\u200c|\s*)radius
تن(Ton),تن
تن(Ton),Ton
کیلوگرم(kg),کیلو(-|\u200c|\s*)گرم
کیلوگرم(kg),kg
پوند(lb),پوند
پوند(lb),lb
گرم(g),گرم
گرم(g),g
میلیگرم(mg),میلی(-|\u200c|\s*)گرم
میلیگرم(mg),mg
میکروگرم(μg),میکرو(-|\u200c|\s*)گرم
میکروگرم(μg),μg
اونسمعمولی(oz),اونس(-|\u200c|\s*)معمولی
اونسمعمولی(oz),oz
اونستروا(تروی)(ozt),اونس(-|\u200c|\s*)تروا
اونستروا(تروی)(ozt),تروی
اونستروا(تروی)(ozt),ozt
اسلاگ(slug),اسلاگ
اسلاگ(slug),slug
نیوتن,نیوتن
کیلونیوتن,کیلو(-|\u200c|\s*)نیوتن
قیراط(carat),قیراط
قیراط(carat),carat
مثقال,مثقال
سیر,سیر
چارک,چارک
سوت,سوت
گندم,گندم
نخود,نخود
خروار,خروار
مناصفهان,من(-|\u200c|\s*)اصفهان
منری,من(-|\u200c|\s*)ری
منتبریز,من(-|\u200c|\s*)تبریز
منلرستان,من(-|\u200c|\s*)لرستان
پاسکال(pa),پاسکال
پاسکال(pa),pa
بار(bar),بار
بار(bar),bar
پیاسآی(psi),پیاسآی
پیاسآی(psi),psi
کیلوپاسکال(kpa),کیلو(-|\u200c|\s*)پاسکال
کیلوپاسکال(kpa),kpa
مگاپاسکال(Mpa),مگا(-|\u200c|\s*)پاسکال
مگاپاسکال(Mpa),Mpa
گیگاپاسکال(Gpa),گیگا(-|\u200c|\s*)پاسکال
گیگاپاسکال(Gpa),Gpa
میلیبار(mbar),میلی(-|\u200c|\s*)بار
میلیبار(mbar),mbar
باری(barye),باری
باری(barye),barye
اتمسفر(atm),اتمسفر
اتمسفر(atm),atm
تور(Torr),تور
تور(Torr),Torr
میلیمترجیوه(mmHg),میلی(-|\u200c|\s*)متر(-|\u200c|\s*)جیوه
میلیمترجیوه(mmHg),mmHg
سانتیمترجیوه(cmHg),سانتی(-|\u200c|\s*)متر(-|\u200c|\s*)جیوه
سانتیمترجیوه(cmHg),cmHg
اینچجیوه(inHg),اینچ(-|\u200c|\s*)جیوه
اینچجیوه(inHg),inHg
فوتجیوه(fHg),فوت(-|\u200c|\s*)جیوه
فوتجیوه(fHg),fHg
میلیمترآب(mmH2o),میلی(-|\u200c|\s*)متر(-|\u200c|\s*)آب
میلیمترآب(mmH2o),mmH2o
سانتیمترآب(cmH2o),سانتی(-|\u200c|\s*)متر(-|\u200c|\s*)آب
سانتیمترآب(cmH2o),cmH2o
اینچآب(inH2o),اینچ(-|\u200c|\s*)آب
اینچآب(inH2o),inH2o
فوتآب(fH2o),فوت(-|\u200c|\s*)آب
فوتآب(fH2o),fH2o
مترآب(mH2o),متر(-|\u200c|\s*)آب
مترآب(mH2o),mH2o
اتمسفرفنی(at),اتمسفر(-|\u200c|\s*)فنی
اتمسفرفنی(at),at
پوندبراینچمربع(psi),پوند(-|\u200c|\s*)بر(-|\u200c|\s*)اینچ(-|\u200c|\s*)مربع
پوندبراینچمربع(psi),psi
